2.0 Column ปริมาณเสา,,,,,,,,,,
Type,Count,Radius,Width,Depth,Length,Perimeter,Formwork,Area Column,Volume New,Family
,,,,,,,,,,
C01 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C01 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,37.05 m²,1.080 m²,4.446 m³,Rectangular Column
C02 - 300x1200 mm. (1-3),2,,1200.000,300.000,2.80 m,3000.000,17.70 m²,0.720 m²,2.124 m³,Rectangular Column
C02 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C02 - 300x1600 mm. (F-1),1,,1600.000,300.000,0.30 m,3800.000,1.14 m²,0.480 m²,0.144 m³,Rectangular Column
C03 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C03 - 300x1200 mm. (F- 3),3,,1200.000,300.000,2.80 m,3000.000,37.05 m²,1.080 m²,4.446 m³,Rectangular Column
C04 - 300x1170 mm. (1-3),2,,1170.000,300.000,2.80 m,2940.000,17.35 m²,0.702 m²,2.071 m³,Rectangular Column
C04 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C04 - 300x1600 mm. (F-1),1,,1600.000,300.000,0.30 m,3800.000,1.14 m²,0.480 m²,0.144 m³,Rectangular Column
C05 - 300x1200 mm. (3- R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C05 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C06 - 300x1200 mm. (3-R),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C06 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,28.20 m²,1.080 m²,3.384 m³,Rectangular Column
C07 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C07 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C08 - 300x1200 mm. (3-R),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C08 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,28.20 m²,1.080 m²,3.384 m³,Rectangular Column
C09 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C09 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C10 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C10 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,28.20 m²,1.080 m²,3.384 m³,Rectangular Column
C11 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C11 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C12 - 300x1200 mm. (3-8),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C12 - 300x1200 mm. (8-R),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
C12 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C13 - 300x1200 mm. (3-8),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C13 - 300x1200 mm. (8-R),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
C13 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.65 m,3000.000,19.65 m²,1.080 m²,2.358 m³,Rectangular Column
C14 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C14 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C15 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C15 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C16 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C16 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C17 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C17 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C18 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C18 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C19 - 300x1200 mm. (3-8),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C19 - 300x1200 mm. (8-R),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
C19 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C20 - 300x1200 mm. (3- R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C20 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C21 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
