4.3 BB/PB ปริมาณคานพื้น Post,,,,,,,,,,,
Level,Type,Type Mark,Default Thickness,Perimeter,Area,Formwork,Volume,Count,Structural Material,Description
,,,,,,,,,,
Foundation,Geotextile+กรวด,,0.10 m,11.01 m,6.85 m²,1.10 m²,0.68 m³,1,งาน Geotextile+กรวด,280 ksc
Foundation,งานขุดดิน,,6.00 m,102.20 m,449.28 m²,613.21 m²,2695.66 m³,1,งานขุดดิน,280 ksc
Foundation,งานขุดดิน (บ่อ methane),,2.35 m,19.01 m,21.85 m²,44.66 m²,47.52 m³,1,งานขุดดิน,280 ksc
Foundation,งานขุดดิน (บ่อดักไขมัน),,1.80 m,16.00 m,15.99 m²,28.79 m²,28.79 m³,1,งานขุดดิน,280 ksc
Foundation,งานถมทรายรอบบ่อ,,2.95 m,36.00 m,68.75 m²,106.20 m²,202.80 m³,1,งานถมทราย,280 ksc
Foundation,งานถมทรายรอบบ่อ (บ่อหน่วงน้ำ),,5.75 m,34.40 m,69.94 m²,197.77 m²,402.14 m³,1,งานถมทราย,280 ksc
6,,,,218.61 m,632.66 m²,991.75 m²,3377.60 m³,,,
+0.00 Road,งานถมทรายรอบบ่อ (บ่อกำจัด Methane),,2.75 m,60.39 m,135.83 m²,166.08 m²,373.53 m³,1,งานถมทราย,280 ksc
1,,,,60.39 m,135.83 m²,166.08 m²,373.53 m³,,,
Level 2,BB.1 - 350 mm. Thk.,,0.35 m,23.82 m,32.73 m²,8.34 m²,8.47 m³,1,Concrete RC Slab,280 ksc
1,,,,23.82 m,32.73 m²,8.34 m²,8.47 m³,,,
Level 8,ปูนทราบปรับระดับ - 250 mm. Thk.,,0.25 m,6.60 m,2.72 m²,1.65 m²,0.68 m³,1,Concrete RC Slab,
Level 8,ปูนทราบปรับระดับ - 250 mm. Thk.,,0.25 m,9.80 m,5.28 m²,2.45 m²,1.32 m³,1,Concrete RC Slab,
2,,,,16.40 m,8.00 m²,4.10 m²,2.00 m³,,,
,,,,319.23 m,809.22 m²,1170.26 m²,3761.60 m³,,,
