5.1 Wall ปริมาณผนังกันดิน + รับน้ำ,,,,,,,,,,,,
Type,Type Mark,Width,Unconnected Height,Length,Area,Formwork,Volume,Count,Structural Material,Description
,,,,,,,,,,
LC01 - 250 mm Thk. (1-R),,0.25 m,145.20 m,95.47 m,288.80 m²,577.61 m²,72.20 m³,48,Concrete Shear Wall,320 ksc
LC01 - 250 mm Thk. (F-1),,0.25 m,6.60 m,14.00 m,23.10 m²,46.20 m²,5.78 m³,4,Concrete Shear Wall,320 ksc
Methane Wall - 200 mm Thk.,,0.20 m,9.80 m,10.31 m,25.01 m²,50.50 m²,5.00 m³,4,Concrete Water Tank,
SC01 - 250 mm Thk. (1-R),,0.25 m,128.50 m,132.98 m,369.22 m²,738.45 m²,92.31 m³,44,Concrete Shear Wall,320 ksc
WT1 - 250 mm Thk.,,0.25 m,14.75 m,26.71 m,78.78 m²,157.56 m²,19.70 m³,5,Concrete Water Tank,
WT2 - 250 mm Thk.,,0.25 m,2.95 m,10.25 m,29.51 m²,60.49 m²,7.38 m³,1,Concrete Water Tank,
WT3 - 300 mm Thk.,,0.30 m,13.00 m,25.20 m,81.88 m²,163.77 m²,24.57 m³,4,Concrete Water Tank,
WT3 - 600 mm Thk.,,0.60 m,10.00 m,24.00 m,59.99 m²,119.98 m²,35.99 m³,4,Concrete Water Tank,
กันซึม บ่อลิฟต์ (ภายนอก),,0.01 m,6.60 m,15.04 m,24.82 m²,49.64 m²,0.25 m³,4,กันซึม,
กันซึม บ่อลิฟต์ (ภายใน),,0.01 m,6.60 m,12.96 m,21.38 m²,42.76 m²,0.21 m³,4,กันซึม,
122,,,344.00 m,366.90 m,1002.50 m²,2006.96 m²,263.38 m³,,,
